,east_utm48,north_utm48,z,strike_slip,dip_slip,net_slip,strike,dip
135,468657,3547022,0.1450900472838178,-494.12842,491.80397,697.1614162871159,-137,35
136,465950,3544119,0.1450900472838178,-472.50091,415.67466,629.3191026156314,-137,35
137,463242,3541216,0.1450900472838178,-467.70748,394.57829,611.9169173893417,-137,35
138,460535,3538312,0.1450900472838178,-467.8103,409.03211,621.412700061032,-137,35
139,457827,3535409,0.1450900472838178,-462.96994000000007,471.32086,660.6697498862372,-137,35
140,455120,3532506,0.1450900472838178,-454.99886,564.5285700000001,725.0630792886536,-137,35
141,452413,3529602,0.1450900472838178,-450.9957,621.85843,768.1829393969609,-137,35
142,449705,3526699,0.1450900472838178,-449.33612999999997,755.0830900000001,878.6657103400161,-137,35
143,446998,3523796,0.1450900472838178,-437.47243,910.47103,1010.1186185193133,-137,35
144,444290,3520892,0.1450900472838178,-521.58683,1045.9146,1168.755822112818,-137,35
145,441583,3517989,0.1450900472838178,-492.37073,799.27643,938.7607508381876,-137,35
146,438876,3515086,0.1450900472838178,-457.12762000000004,620.04595,770.3393025662567,-137,35
147,436168,3512182,0.1450900472838178,-426.14808,540.49541,688.2858957720654,-137,35
148,433461,3509279,0.1450900472838178,-361.88727,433.72837000000004,564.8740524496676,-137,35
149,430753,3506376,0.1450900472838178,-307.80642,374.14497,484.4886487519778,-137,35
150,428046,3503473,0.1450900472838178,-289.09713,366.14011,466.5144485705121,-137,35
151,425339,3500569,0.1450900472838178,-270.96621,385.24625,470.9961359722886,-137,35
152,422631,3497666,0.1450900472838178,-266.91885,433.44018,509.03444099958,-137,35
153,419924,3494763,0.1450900472838178,-271.70565,473.0008,545.4848458413511,-137,35
154,417216,3491859,0.1450900472838178,-286.63436,564.13401,632.7767675660111,-137,35
155,414509,3488956,0.1450900472838178,-301.88461,627.07141,695.9546472251193,-137,35
156,411802,3486053,0.1450900472838178,-308.83718,616.3485900000001,689.39537868,-137,35
157,409094,3483149,0.1450900472838178,-316.18694,534.87045,621.3377336922055,-137,35
158,406387,3480246,0.1450900472838178,-315.21107,424.83804000000003,529.0041388132862,-137,35
159,403679,3477343,0.1450900472838178,-300.7743,359.22402999999997,468.5158303301297,-137,35
160,400972,3474439,0.1450900472838178,-247.04525,263.45705,361.16612900750397,-137,35
161,398265,3471536,0.1450900472838178,-172.45023,188.91215,255.7867905984893,-137,35
162,395557,3468633,0.1450900472838178,-128.87179,106.57056000000001,167.22805541091992,-137,35
163,392850,3465729,0.1450900472838178,-50.284859000000004,20.505794,54.305198942829755,-137,35
164,390142,3462826,0.1450900472838178,1.8771598999999998e-20,1.8959151000000003e-15,1.8959151000929297e-15,-137,35
165,387435,3459923,0.1450900472838178,8.4064886e-15,7.879122099999999,7.879122099999999,-137,35
166,384728,3457019,0.1450900472838178,-6.555817599999999,10.680923,12.532392450621659,-137,35
167,382020,3454116,0.1450900472838178,-37.796445,10.391575,39.198929648890285,-137,35
168,351059,3466938,20.595106310312076,-1.1687929,40.711601,40.72837503297046,-128,35
169,328049,3448960,20.595106310312076,-60.121906,66.090402,89.34531223066178,-128,35
170,305038,3430983,20.595106310312076,-57.301302,-5.8292138e-14,57.301302,-128,35
171,362572,3461688,12.73538410117042,-364.27965,437.60125999999997,569.3808270022007,-128,35
172,348766,3450902,12.73538410117042,-292.0485,488.51927,569.160261713327,-128,35
173,334959,3440115,12.73538410117042,-358.5156,383.47987,524.9669000409234,-128,35
174,321153,3429329,12.73538410117042,-175.15831,-1.1838568e-14,175.15831,-128,35
175,307347,3418542,12.73538410117042,-15.046042000000002,-7.404408999999999e-16,15.046042000000002,-128,35
176,369151,3457332,7.495569199479911,-352.71828999999997,648.16633,737.9226134536012,-128,35
177,359290,3449628,7.495569199479911,-385.65155,589.93659,704.8065679590611,-128,35
178,349428,3441923,7.495569199479911,-196.3749,498.414,535.704785069174,-128,35
179,339567,3434218,7.495569199479911,-179.01141,353.75427,396.46837005418354,-128,35
180,329705,3426514,7.495569199479911,-118.70296,134.68724,179.53006804315316,-128,35
181,319843,3418809,7.495569199479911,4.6227970999999995e-14,-5.193885e-16,4.623088866970624e-14,-128,35
182,309982,3411104,7.495569199479911,4.1343080999999995e-15,-1.0560231e-15,4.267046783603294e-15,-128,35
183,373702,3454557,4.002359303258,-281.24486,717.96982,771.08970535681,-128,35
184,366799,3449163,4.002359303258,-415.40285,685.04881,801.1562892910089,-128,35
