,lat_deg,lon_deg,depth_km,x_local_km,y_local_km,utm_lon,utm_lat,x_pixel,y_pixel,z_pixel,zz_stress,xx_stress,yy_stress,xz_stress,xy_stress,yz_stress,sig_nn,tau_dd,tau_ss,tau_cs,slp_strk_m,slp_ddip_m,slp_am_m,strike_deg,dip_deg,rake_deg
386,31.5044,103.9133,7.4964,26.0,10.25,396804.2758948053,3486015.7499581613,1230.0915331914848,551.7493533650941,5.9964,-59.06720388359017,221.1721872287137,289.6907910419103,-90.00958200894462,-23.82966351616402,-77.70685160289534,105.05416857240141,167.9397781548774,-107.19929575590179,136.20468940408404,4.4201,3.9317,5.9157,222.0,47.0,48.346754670649325
387,31.5212,103.8913,10.4949,26.0,14.35,394733.820192434,3487898.839592013,1227.6507372257975,553.9692692879848,8.9949,-52.1866839189954,157.5969422096129,0.21268307481498105,93.66482409668683,-217.6062089227643,53.7669477543828,171.63369431993965,175.08646028909655,110.5950241526421,104.11041077656024,3.2277,3.1567,4.5147,222.0,47.0,45.63715191038197
388,31.5379,103.8694,13.4935,26.0,18.45,392673.4935249906,3489771.183724359,1225.2218820650055,556.1765176726644,11.9935,128.10402072443398,342.12633180934284,525.4333956081778,16.42252810381644,360.31285926705556,283.42660091344277,-82.20156886702908,-18.668038447281077,112.02262264394423,162.88838226830208,2.1344,2.1558,3.0336,222.0,47.0,44.714204579620464
389,31.5547,103.8474,16.492,26.0,22.55,390604.5343453849,3491655.1455738526,1222.7828503035576,558.3974618235038,14.992,88.15176433942185,172.4713626926355,225.65962097642876,-108.43938408754477,-7.890308855976855,-187.74024291286932,195.11432911022325,54.70762988511609,-164.58341326196856,56.369070554993385,1.4605,1.2351,1.9127,222.0,47.0,49.77982465301668
390,31.5715,103.8254,19.4906,26.0,26.65,388536.32603943045,3493539.5450798925,1220.344703723752,560.6189219140624,17.9906,257.4495193393621,6.761313002116757,-208.6636996042944,-83.49849241639528,-2.596501672602325,58.99692263341691,-28.12861330536252,-164.7777977728154,69.94273073448122,195.88473268777125,1.2656,0.6769,1.4353,222.0,47.0,61.860117898992854
391,31.5883,103.8034,22.4891,26.0,30.75,386468.86903381994,3495424.3826071857,1217.9074428286026,562.8408983742811,20.9891,-87.30614581874208,135.86550941344078,428.8976798958619,15.783895409330444,-76.60522849608166,-243.26172579338288,317.06857809259327,202.58194421672317,-228.51219061861798,115.13937869240223,1.1827,0.5207,1.2923,222.0,47.0,66.23784352836768
392,31.605,103.7814,25.4877,26.0,34.85,384402.04018665507,3497298.5738241095,1215.4709224499493,565.0503242296404,23.9877,544.8605945886716,170.22900893617106,61.58955946518137,-293.3029166298612,-52.47772647536137,-85.16738516105073,185.79001230800807,-173.86029424885663,-141.51491840282984,112.69975121967276,0.9421,0.4953,1.0644,222.0,47.0,62.26728310135954
393,31.6218,103.7594,28.4862,26.0,38.95,382336.08477205056,3499184.2884160206,1213.035431733832,567.2733346341151,26.9862,-269.78840653785267,-87.83070529051481,308.74838485375597,-3.042389177168732,-119.12479149219362,-154.3878944486311,86.67800005944737,231.3655722004854,-232.967928448176,276.3285219829844,0.4872,0.3179,0.5818,222.0,47.0,56.87538690820854
394,31.444,103.929,1.4993,30.0,2.05,398229.91977911297,3479306.2101241974,1231.772180518226,543.8396851023992,-0.0006999999999999229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3744,3.6252,5.6813,222.0,47.0,50.35041129917711
395,31.4608,103.9071,4.4978,30.0,6.15,396167.3284025231,3481188.862148655,1229.3406555621127,546.0590851411578,2.9978,107.39862510205879,239.58688959702386,32.5312589685676,-87.04753827893349,-162.64423600391075,-80.90294436782625,204.50642933170542,101.10878384732237,-17.860346909148262,-20.029721796477148,4.5152,3.692,5.8325,222.0,47.0,50.72773448331378
396,31.4776,103.8851,7.4964,30.0,10.25,394095.98283873626,3483072.0431829807,1226.8988105664207,548.2791088132303,5.9964,106.87119210806921,145.31756721806963,-472.5449895549577,-102.98162782903619,145.01827412853694,127.40499641133701,-259.0619025596,-179.45728495238956,253.3631755731209,465.91711811875837,4.0547,3.5247,5.3726,222.0,47.0,48.99997533749124
397,31.4944,103.8632,10.4949,30.0,14.35,392034.8842161293,3484955.562459663,1224.4690453716462,550.4995312287192,8.9949,-48.2140642148442,81.85944304609495,244.98494544328662,-69.93749037866523,193.63286977596323,218.87782633663605,-240.52541699473,19.098299034136843,34.49500668635038,183.74430689730534,3.2917,3.087,4.5128,222.0,47.0,46.83805828722472
398,31.5111,103.8412,13.4935,30.0,18.45,389964.91839907056,3486828.530908026,1222.028826916549,552.7075156001738,11.9935,406.650033999468,269.04820455144625,351.8433597580945,-157.31570823943733,-2.160397697831003,-205.52414635404756,374.5910814257617,-50.50959904757417,-206.2304399391255,-12.428922780089607,2.5961,2.3816,3.523,222.0,47.0,47.46747412511117
399,31.5279,103.8192,16.492,30.0,22.55,387895.817424996,3488713.0211583087,1219.5896279980025,554.9290826663037,14.992,-255.77324643552078,-8.516826119233333,-486.17089813551763,-86.33808322268084,-119.77849371068305,37.087739729310634,-262.957283343667,82.27901876590889,143.9503557797704,323.5801053056863,2.1901,1.5854,2.7037,222.0,47.0,54.09945075119146
400,31.5447,103.7972,19.4906,30.0,26.65,385827.46681390563,3490597.9492129562,1217.1513136590884,557.1511658464105,17.9906,531.8550745267058,271.94932341528994,537.2675625327076,43.43522500093288,-124.19561171871891,-402.799567490941,823.5112728313071,-29.830376654590623,-290.3104824014005,-202.26771976619347,2.1056,0.9408,2.3062,222.0,47.0,65.92450174492117
401,31.5614,103.7752,22.4891,30.0,30.75,383759.7429492221,3492472.2308020787,1214.7137381720613,559.36069823875,20.9891,-123.84017132429136,6.80042792476663,-142.74631834029805,-180.46343404040593,-43.597172586161555,-56.34097967687077,-162.76213568099575,60.11567435623287,-59.85537384963909,182.48982281803947,1.9851,0.5814,2.0685,222.0,47.0,73.67564361669591
402,31.5782,103.7532,25.4877,30.0,34.85,381692.8920565639,3494358.035490528,1212.27719180466,561.5838148552375,23.9877,312.6885456446822,219.48021845731824,359.40997629485264,-29.430578484438335,15.315284708143825,-83.66228237478494,322.2241795866579,-25.21768911651057,-105.55049302033956,-84.81336501375351,1.5692,0.4009,1.6196,222.0,47.0,75.6686014067325
403,31.595,103.7312,28.4862,30.0,38.95,379626.7928082715,3496244.279076014,1209.8415315274715,563.8074488738189,26.9862,-218.66895741038812,-68.12856866814775,71.23910155615786,-1.4121884455071068,-138.19209369731817,-34.42995170988077,-9.32570129064267,173.22707058418183,-79.34311362134022,196.1287450573205,0.8165,0.2169,0.8448,222.0,47.0,75.12319140487358
404,31.4172,103.9009,1.4993,34.0,2.05,395529.8943475664,3476362.0302178008,1228.589204339105,540.36888279083,-0.0006999999999999229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4754,3.1575,4.6956,222.0,47.0,47.74395829437124
405,31.434,103.879,4.4978,34.0,6.15,393467.1637682171,3478245.205460425,1226.1575152811788,542.5888996352455,2.9978,391.39348049213055,491.49989818995516,48.64562278667389,-202.19560869150973,-87.8964216798108,92.08422806604003,174.27712108164093,9.41271509769598,108.7342849176587,4.574663401907799,3.6009,3.2276,4.8357,222.0,47.0,48.12912726064018
406,31.4508,103.857,7.4964,34.0,10.25,391395.67574284656,3480128.9122456727,1223.7155023419477,544.8095430987621,5.9964,137.57469946814425,135.59426847017534,117.13553500839382,-30.84984352943751,149.49467813740625,-25.539726626443382,46.7491524149131,-78.85970401194686,-8.88092094364523,51.30870707936518,3.388,3.1873,4.6516,222.0,47.0,46.74831471693183
