index,length_km,width_km,depth_km,dip,strike,lat,lon,s_slip_m,d_slip_m,easting_utm48,northing_utm48
273,3.7224,4,21.3563,49.71,-126.77,31.8455,104.1903,2.39163,1.4252799999999999,423390.4002540999,3523596.371742878
274,3.7286,4,3.0504,49.69,-126.79,31.7136,104.2571,3.0659799999999997,2.95558,429610.9929923722,3508931.0213944917
275,3.7275,4,6.1007,49.69,-126.79,31.7323,104.2407,3.0171,2.6321700000000003,428071.5135704207,3511014.475821366
276,3.7265,4,9.1511,49.69,-126.79,31.7509,104.2243,2.91739,2.16886,426532.58443366154,3513087.092991332
277,3.7255,4,12.2014,49.69,-126.78,31.7695,104.2079,2.7440900000000004,1.7230599999999998,424994.28157993156,3515159.9572893768
278,3.7245,4,15.2518,49.69,-126.78,31.7882,104.1915,2.5405100000000003,1.41921,423456.6878541414,3517244.153304584
279,3.7235,4,18.3021,49.69,-126.78,31.8068,104.1752,2.3634,1.29572,421929.1063439165,3519317.440738025
280,3.7224,4,21.3525,49.69,-126.78,31.8255,104.1588,2.2526200000000003,1.31674,420392.77067184576,3521402.1308049564
281,3.7284,4,3.0498,49.68,-126.77,31.6936,104.2255,2.77798,2.88843,426601.0961278856,3506735.02746842
282,3.7272,4,6.0996,49.68,-126.77,31.7122,104.2092,2.6459200000000003,2.57456,425071.26558447466,3508807.7762283287
283,3.7260000000000004,4,9.1494,49.68,-126.77,31.7309,104.1928,2.5011200000000002,2.1164,423532.66567543795,3510891.923688366
284,3.7248,4,12.1993,49.68,-126.76,31.7495,104.1764,2.35238,1.68081,421994.61149255664,3512965.234272307
285,3.7235,4,15.2491,49.68,-126.76,31.7681,104.16,2.2189,1.39435,420457.18390358257,3515038.792417996
286,3.7223,4,18.2989,49.68,-126.76,31.7868,104.1436,2.1253599999999997,1.28474,418920.4706336446,3517123.68277185
287,3.7211,4,21.3487,49.68,-126.76,31.8054,104.1272,2.0888000000000004,1.30923,417384.2992883009,3519197.736747425
288,3.7303,4,3.0493,49.67,-126.77,31.6735,104.194,2.5868900000000004,2.91269,423599.3104880121,3504528.739251085
289,3.7293,4,6.0985,49.67,-126.77,31.6922,104.1776,2.40689,2.62957,422060.3347316671,3506613.0867850096
290,3.7283,4,9.1478,49.67,-126.77,31.7108,104.1612,2.22395,2.21492,420521.90266450524,3508686.5974878194
291,3.7278,4,12.1971,49.67,-126.76,31.7295,104.1448,2.07812,1.80689,418984.18362623476,3510771.4400795824
292,3.7291,4,15.2463,49.67,-126.76,31.7481,104.1284,1.98367,1.5246899999999999,417447.00574725657,3512845.4461731296
293,3.7335,4,18.2956,49.67,-126.76,31.7667,104.11200000000001,1.94305,1.3988699999999998,415910.45477521344,3514919.7002627994
294,3.7426,4,21.3449,49.67,-126.76,31.7854,104.0956,1.95533,1.39408,414374.6233254655,3517005.2870559613
295,3.7294,4,3.0487,49.66,-126.76,31.6534,104.1624,2.4997599999999998,2.98446,420586.75579573883,3502323.3773122192
296,3.7286,4,6.0975,49.66,-126.76,31.6721,104.146,2.30959,2.74241,419048.0308930186,3504408.1720916233
297,3.7904,4,9.1462,49.66,-126.78,31.6906,104.1294,2.1122799999999997,2.3808200000000004,417490.80269878224,3506471.197269488
298,3.906,4,12.1949,49.66,-126.85,31.7089,104.1125,1.9628,2.01099,415905.59666054376,3508512.538700569
299,4.0683,4,15.2436,49.66,-126.99,31.726999999999997,104.0954,1.8794,1.7317,414301.8931485571,3510532.1310662664
300,4.271,4,18.2924,49.66,-127.2,31.745,104.0781,1.8569,1.57956,412679.78665177646,3512541.067790732
301,4.5092,4,21.3411,49.66,-127.46,31.7628,104.0605,1.88642,1.5348700000000002,411029.71702948865,3514528.3553728764
302,3.7306,4,3.0482,49.64,-126.76,31.6334,104.1308,2.4877800000000003,3.0538000000000003,417572.9980961162,3500129.9575989167
303,4.0654,4,6.2487,49.64,-129.53,31.6497,104.1127,2.31061,2.86337,415871.1769278213,3501950.486697033
304,4.4245,4,9.373,49.64,-131.92,31.6657,104.0941,2.1238599999999996,2.5536700000000003,414122.2811819778,3503738.453384137
305,4.8083,4,12.4973,49.64,-133.99,31.6814,104.0751,1.9847299999999999,2.2212300000000003,412335.79648346576,3505493.801630294
306,5.2163,4,15.6217,49.64,-135.8,31.6968,104.0558,1.90762,1.9478799999999998,410521.2013515764,3507216.4692166
307,5.6481,4,18.746,49.64,-137.39,31.7119,104.0363,1.8837400000000002,1.77348,408687.9675048998,3508906.387425688
308,6.1034,4,21.8703,49.64,-138.8,31.7267,104.0164,1.89968,1.69182,406817.13794691005,3510563.7373901983
309,7.2189,4,3.2761,54.99,-143.51,31.5908,104.0893,2.52142,3.0973400000000004,413598.0262498818,3495440.1507238206
310,7.369,4,6.3928,54.99,-144.34,31.6052,104.0711,2.36757,2.96566,411884.8065019635,3497050.799328857
311,7.4575,4,9.5891,54.99,-145.29,31.6193,104.0526,2.20916,2.7039,410143.3768704291,3498628.7402804787
312,7.4914,4,12.7855,54.99,-146.34,31.6331,104.0337,2.09328,2.40016,408364.2494733281,3500174.071868044
313,7.4765,4,15.9819,54.99,-147.48,31.6465,104.0146,2.01934,2.12958,406566.2878701293,3501675.558256788
314,7.417000000000001,4,19.1783,54.99,-148.71,31.6597,103.9951,1.97855,1.9380700000000002,404730.7188056847,3503155.5525300964
315,7.316,4,22.3746,54.99,-150.06,31.6725,103.9755,1.9602700000000002,1.8273099999999998,402885.77686359704,3504591.639152628
316,4.2855,4,3.2649,54.71,-132.39,31.5548,104.053,2.56347,2.98046,410119.41645398416,3491479.093228255
317,4.2999,4,6.5297,54.71,-132.22,31.5687,104.035,2.44845,2.8854,408424.5315957853,3493034.715935233
318,4.2904,4,9.7945,54.71,-131.99,31.5825,104.01700000000001,2.3208200000000003,2.69163,406730.0554158015,3494579.5461307787
