index,length_km,width_km,depth_km,dip,strike,lat,lon,s_slip_m,d_slip_m,easting_utm48,northing_utm48,segment,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
400,3.705,4,2.7414,43.26,229.13,31.1639,103.6631,2.40258,5.39956,372584.82436424564,3448535.7386343214,beichuan,837.1696074369682,1287.8118677646416,1231.377737104836,-14.2835425553025,48.29910849027157,-133.22244347086536,1201.5399734941388,507.5653313025143,0.8904000000000001,1306.0041469820935,-53.044110018064316,-188.29251777113743,-587.9810429021848
401,3.324,4,5.7461,43.26,233.93,31.1829,103.6445,2.3582099999999997,5.05042,370837.76610356657,3450663.307753895,beichuan,51.94984043084365,261.21064589096966,241.03292492397836,310.9750399785637,63.32766750582464,-88.99054346269465,1199.480420735003,510.0734565030825,3.8951000000000002,186.44452173399375,-167.22542867350808,-134.48869863408038,102.7295452105971
402,2.9997,4,8.6191,43.26,239.63,31.2029,103.6275,2.27631,4.60585,369245.2434577511,3452900.1462209,beichuan,306.2843823044123,567.1065748416556,272.9893279527542,2.405662657104642,-48.825409652092944,-194.2932100216509,1197.6030452158257,512.7103959458868,6.7681,521.5075987937095,121.14357614524778,-180.98987598097943,-95.11314243692559
403,2.7319999999999998,4,11.4922,43.26,246.32999999999998,31.2236,103.6125,2.1691,4.1055,367844.90032775735,3455212.4522428787,beichuan,746.1242899703194,989.1160493500737,1094.089994933623,27.180788335942676,-64.64598215584364,-325.6790666106356,1195.9522241630725,515.4363017469225,9.641200000000001,1288.8329307542376,-65.3818755080971,-212.18950582346733,-551.2655808434105
404,3.6683,4,13.7069,43.26,254.17000000000002,31.2489,103.5918,2.04224,3.5841,365908.8550691785,3458041.767213453,beichuan,711.1217303459131,494.3288053792243,883.3991793895518,17.597481313973834,-58.03358471608332,-212.34537140045228,1193.6698804978028,518.7716933507754,11.855899999999998,892.0247577902171,-179.2955473566476,-54.11811331645829,-347.9298753222002
405,3.5111,4,16.4483,43.26,263.51,31.2698,103.5767,1.8698700000000001,3.11058,364500.7402210021,3460376.874030845,beichuan,103.91879532626933,-246.28783234492766,85.88610354417492,67.39900797307844,-26.538096183816897,-12.988299629119838,1192.0098976076988,521.5244783018431,14.5973,-65.24069847880271,-170.50181888294014,-38.32736614157562,213.90098473716307
406,3.0272,4,19.1896,43.26,275.3,31.2916,103.5648,1.69514,2.75068,363399.1768101483,3462807.992353005,beichuan,501.8173452004578,605.1708056182797,680.6316039954168,-21.649417059185595,-36.083593069444845,-259.4919677471922,1190.7112986924544,524.3904482359219,17.3386,904.1399663070655,-24.202313750611324,12.388131207030584,-515.2954199532068
407,3.7055,4,2.7414,43.26,229.14,31.1421,103.6337,2.63171,5.871930000000001,369752.7543624422,3446153.5868698717,beichuan,-47.96105064809231,105.30481355815907,152.87616592217944,93.63077347629968,1.832933767072423,19.037616326448415,1198.2013340694798,504.7570865235191,0.8904000000000001,43.03648351898344,-103.52297679402194,-51.130830155085036,89.63965550724333
408,3.7044,4,5.4828,43.26,229.13,31.1619,103.6137,2.53443,5.44183,367873.4879237943,3448371.9683553837,beichuan,829.5593780571502,1235.7042053171638,1168.204022114671,193.48666788479304,-81.52554253790608,-279.71995624501096,1195.985925192752,507.37226760370027,3.6318,1186.191648887354,-139.06261193693484,-334.96416281069787,-349.03138009952426
409,3.8253,4,8.2241,43.26,229.2,31.182,103.5942,2.33663,4.89387,366043.09477368864,3450623.365797272,beichuan,140.49795180227042,161.75696257179888,234.94741155974543,201.96249762481824,59.77981195049341,31.48874826011227,1193.8281315189806,510.02637017011943,6.3731,117.67296612269067,-139.84735110677215,20.514369725858963,70.74020136848743
