,txx,tyy,txy,mu,phi
65736,1.4791053651786117,0.5483425707865734,0.1889873638759248,0.5452254757206868,0.5155266550677271
208,1.5652698250785309,0.4482161005586816,0.022017735667748787,0.520214488280913,0.4767458404599336
32979,0.9657520760317416,0.6309866320100395,0.12211143503521807,0.19570926660431037,0.32059852746186995
17465,2.3309348451496312,1.1659006200939162,-0.3009074336164586,0.2971261406811523,0.006618315023900852
214,1.7481581137093136,0.9322213507798904,0.23083841540409294,0.24080055494950492,0.12649027390620962
32804,1.0816599672424734,0.14850805939455491,-0.11670291288564245,0.5843538471566878,0.6259322619432497
65755,2.2818873337910195,0.48283156676666295,0.38710568680036106,0.5640373715308747,0.3540283322738207
223,1.9775864622663493,0.6320248212818455,-0.8561700675169251,0.3456667675527689,0.09331181749239333
226,1.6864883457089148,0.5292761234028797,-0.7300285174071633,0.43636124190197545,0.32628836016039825
229,1.0074955235115777,0.1538680970460293,-0.13405722420209154,0.2718899559282454,0.3489943949501179
65766,0.9714249550210068,0.5759944686042353,-0.01800844424105151,0.16126788608397377,0.12194289167115326
237,0.3671890059483189,0.08666281017524104,0.051782329453381085,0.07179065044562995,0.1822675115778614
239,1.3734319158955943,0.5398040215293348,0.2580244754491333,0.2866570942881018,0.32865656636955337
33009,0.5220720267058131,0.03932084132757982,0.0019809328896694496,0.12593182175681542,0.2083368051688878
65781,1.7639155402328064,0.7085320927531028,0.01129688173601018,0.24874093199004216,0.06841463842512452
65785,0.9141362248176392,0.4747383492269084,-0.01835000947015089,0.18918140691028407,0.2659067509624435
250,0.5301176411581578,0.06713424909729508,-0.1649175459345032,0.13656332026602663,0.1995536355524936
252,0.7122950675113771,0.27049178091604625,-0.0447627465602416,0.139238979293663,0.1641010297779854
254,1.6726005225843898,0.9318743953955744,-0.26519040416241063,0.5223601952801293,0.4709084586783451
33025,1.8333089292747635,1.242065592598684,-0.15793869509887767,0.4234992001386832,0.3393348794973923
261,0.4968488398706086,0.3815117512668059,-0.12148936665561952,0.4001815575461664,0.7612116280521374
33031,1.6854273099068928,0.7426023183633109,0.2065494105305176,0.2492411729773813,0.1455557790002515
271,0.6369766124565209,0.12748331001096927,0.11869555902375305,0.42598635195635226,0.7057808563960604
33042,1.0837632277175833,0.7445614480631644,-0.04604217701987419,0.35404627279012346,0.4625732109010593
33046,2.336962234073045,0.9965105974085892,0.3570787446755031,0.30465559318275176,0.11068989135953312
65815,2.2416955298462558,1.9740326336004732,0.1815117369368125,0.2730950682604841,0.041139307370997615
98584,2.400074829991826,0.1478981130319108,-0.2121254144252312,0.5916259998711069,0.3429085230038424
33049,1.9942496740211484,1.996116711815148,0.0029382372183692773,0.32355217703173633,0.18320922681909896
98593,1.6518349348322414,0.827694727449625,-0.8387940812779106,0.4271711125051296,0.3002029856982997
33059,1.1185364778618805,0.8066234297580196,0.02007567698838564,0.17144725494172597,0.09411239568311333
294,0.4486721625291366,0.19670584006131386,-0.007594458234457846,0.09537835770469183,0.2591878232842854
33067,0.7241313989634933,0.2695843575917815,-0.08768368543622485,0.5544622751782603,0.7298352354351864
33069,0.724231033674073,0.4051573857460905,0.2858038888678679,0.08547828871274546,0.08804904409777088
