,lat_deg,lon_deg,depth_km,slp_strk_m,slp_ddip_m,slp_am_m,strike_deg,dip_deg,rake_deg,xx_stress,yy_stress,xy_stress,zz_stress,xz_stress,yz_stress,easting_utm48,northing_utm48
669,31.3209,103.8586,7.6249,0.0042,0.4043,0.4044,222.0,33.0,0.5951857977410786,33.54170710124891,41.50334975959917,0.10243294268457316,54.22842677117913,9.942497984632787,-12.303835604573164,391398.31004847155,3465728.96655694
670,31.340999999999998,103.8323,9.8035,-0.0,0.2028,0.2028,222.0,33.0,-0.0,34.84013147029924,40.992921699816726,0.8375109895064947,60.45519310024758,10.17071622645852,-12.588004036888616,388919.37768313166,3467983.0977796777
671,31.3611,103.806,11.9821,-0.0,0.0806,0.0806,222.0,33.0,-0.0,35.744048012415135,40.54897314929792,1.5753306347463292,65.25504334485244,9.665813091276188,-11.455834315201807,386441.51265824225,3470237.852698643
672,31.3812,103.7796,14.1606,-0.0,0.0381,0.0381,222.0,33.0,-0.0,36.85056718704628,40.722184024844076,1.8289501382582352,67.59033908810477,8.705241298214974,-9.897514122429168,383955.20628917037,3472493.337432447
673,31.4013,103.7533,16.3392,-0.0,0.0304,0.0304,222.0,33.0,-0.0,38.207723296739545,41.316957743037136,1.6731148261314457,68.40766300894987,8.103112504750378,-8.737244617859853,381479.4801176497,3474749.3439543797
674,31.4214,103.7269,18.5177,0.0006,0.0205,0.0205,222.0,33.0,1.6764710468067514,39.61280694744047,42.058636568965994,1.3773010562218209,68.71274496152104,8.023296265755294,-8.027560531117956,378995.31803189573,3477006.0861916672
675,31.2337,103.9095,1.0893,0.5133,0.9721,1.0993,222.0,33.0,27.835491955279256,0.0,0.0,0.0,0.0,0.0,0.0,396146.09199431585,3456014.743406638
676,31.2539,103.8832,3.2678,0.4188,0.9753,1.0614,222.0,33.0,23.23899205865913,28.000905193484463,37.74433234156889,1.1811641691058818,37.88610338036118,3.5788271639464737,-5.898191069581947,393663.9008631521,3458278.7151444177
677,31.274,103.8569,5.4464,0.1759,0.8055,0.8245,222.0,33.0,12.318508803714542,32.02353599076947,40.85733157892199,-0.6583032627928926,44.25328886790656,7.196027282585058,-10.685119278732683,391182.66475290677,3460532.2250318145
678,31.2941,103.8306,7.6249,0.006999999999999999,0.5931,0.5932,222.0,33.0,0.6761959797275132,33.79636118472648,41.357143425380734,0.07532261805443723,52.79002941703988,8.871594114496846,-12.694634389251242,388702.49379083625,3462786.357555626
679,31.3142,103.8042,9.8035,-0.0,0.3874,0.3874,222.0,33.0,-0.0,35.09960001998893,41.21115790156868,0.8126481700841193,58.994612228136155,9.347621128005898,-13.130976766159149,386213.87258301344,3465041.2165854145
680,31.3343,103.7779,11.9821,-0.0,0.2179,0.2179,222.0,33.0,-0.0,36.15016520176208,40.781968753854756,1.5803901558601574,63.88157114868188,8.89054815550714,-12.354720232049804,383735.836081449,3467296.598599481
681,31.3544,103.7516,14.1606,-0.0,0.1152,0.1152,222.0,33.0,-0.0,37.39446706853336,40.788022237677175,1.9139925569293863,66.4590800166215,8.113436388762159,-10.811121449843593,381258.8669149589,3469552.6051561977
682,31.3745,103.7252,16.3392,-0.0,0.0682,0.0682,222.0,33.0,-0.0,38.8230534374374,41.31103978817136,1.8111265503260403,67.46798416343216,7.687263515867428,-9.499252748898632,378773.4556350562,3471809.3470650706
683,31.3946,103.6989,18.5177,0.002,0.0372,0.0373,222.0,33.0,3.077455399424377,40.26130974408822,42.04000092413303,1.5454948531540964,67.91677244275121,7.779432702079678,-8.674486179297958,376298.62531557586,3474066.6069171955
684,31.2069,103.8814,1.0893,0.0239,0.9856,0.9859,222.0,33.0,1.3891039144799957,0.0,0.0,0.0,0.0,0.0,0.0,393439.7648984941,3453071.020643152
685,31.226999999999997,103.8551,3.2678,0.1878,0.9605,0.9786,222.0,33.0,11.063083259000551,26.62713826123785,34.55000051320491,0.8278189743506921,37.64849149019217,3.6958852253880425,-4.90625085689195,390957.29249248805,3455324.5343643688
686,31.2472,103.8288,5.4464,0.0903,0.7783,0.7835,222.0,33.0,6.617987287987022,31.532683474560386,40.46621537893174,-0.18260214352302595,41.862890471872745,6.005241844962115,-9.936713299955503,388476.0013129728,3457589.7543104393
687,31.2673,103.8025,7.6249,-0.0,0.6247,0.6247,222.0,33.0,-0.0,33.90336248059558,41.516630020466884,0.34845197752867746,49.95282321861247,7.711740538398935,-13.004787925738187,385995.65970540245,3459844.5131720253
688,31.2874,103.7762,9.8035,-0.0,0.4627,0.4627,222.0,33.0,-0.0,35.29897738142579,41.43612055796519,1.057050591820852,56.42196072717877,8.205918659630496,-13.641836956421757,383516.38323689223,3462099.895519777
689,31.3075,103.7499,11.9821,-0.0,0.2848,0.2848,222.0,33.0,-0.0,36.69036404368353,41.07060123976853,1.7352968919171738,61.35682243811759,8.168000879732723,-13.026574701085556,381038.1726371861,3464355.9019892523
690,31.3276,103.7235,14.1606,0.0026,0.1502,0.1502,222.0,33.0,0.9917053937475334,38.02543901604727,40.95414092144523,2.070138332626005,64.54357378038358,7.790587557747633,-11.556526250346934,378551.51373045193,3466612.643445648
691,31.3477,103.6972,16.3392,0.009000000000000001,0.0768,0.0773,222.0,33.0,6.6838641080341175,39.47208679079442,41.363362441053575,1.973557953738986,66.04559829601911,7.551886913434384,-10.168306889033856,376075.4390411326,3468869.90237318
692,31.3677,103.6708,18.5177,0.013999999999999999,0.0376,0.0402,222.0,33.0,20.422333024723443,40.933000916527725,42.04657741123255,1.720360579563385,66.83499080956365,7.778265281447648,-9.264048549783274,373590.7875903193,3471116.8176682917
693,31.1801,103.8533,1.0893,-0.0,0.7819,0.7819,222.0,33.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,390731.93866083224,3450127.9638969605
694,31.2002,103.8271,3.2678,-0.0,0.6692,0.6692,222.0,33.0,-0.0,28.522935237714343,36.06923027488667,2.0231143943138816,36.04297235591753,0.9642901865587412,-8.143656168315472,388258.8239769292,3452382.002141165
695,31.2203,103.8008,5.4464,-0.0,0.5034,0.5034,222.0,33.0,-0.0,32.23970486048101,39.14306003938675,0.3320551063369309,39.13524022930236,4.521377018527887,-9.716240407352801,385777.2427251142,3454636.7615578724
696,31.2405,103.7745,7.6249,-0.0,0.4106,0.4106,222.0,33.0,-0.0,34.15983639018697,40.92982787588739,0.7786889598329213,46.46317931644167,7.172780879142247,-12.394548032628634,383296.84811746597,3456903.2281413684
697,31.2606,103.7481,9.8035,-0.0,0.3133,0.3133,222.0,33.0,-0.0,35.744946096404135,41.32874836625611,1.3782895414581424,52.95778357040643,7.908557619899567,-13.251227413800564,380807.8760445032,3459159.3423754615
698,31.2806,103.7218,11.9821,0.002,0.1875,0.1875,222.0,33.0,0.61113180443652,37.169135220153755,41.23136116600483,1.8610512225372569,58.4875710405881,8.1855974327176,-13.064498204480884,378329.3642663186,3461404.8910052995
699,31.3007,103.6955,14.1606,0.0086,0.0893,0.0897,222.0,33.0,5.5008823699044855,38.50774255021613,41.134084193857824,2.1416202894890595,62.401915254904566,7.882313126201937,-11.95417191809624,375852.04404823575,3463662.148796858
700,31.3208,103.6691,16.3392,0.017,0.0384,0.042,222.0,33.0,23.879371364344863,40.040728966759616,41.45479312969176,2.0696271851085046,64.45131185735643,7.6887913546073845,-10.68974216623802,373366.2747384923,3465920.1471106685
701,31.3409,103.6428,18.5177,0.0194,0.0172,0.0259,222.0,33.0,48.439869693746026,41.561564546307714,42.08645815287458,1.8518810006623048,65.63009503903531,8.002777110701873,-9.778303324180737,370891.0904207174,3468178.6590588507
