,index,ul_lon,ul_lat,ul_z,ur_lon,ur_lat,ur_z,lr_lon,lr_lat,lr_z,ll_lon,ll_lat,ll_z,s_slip_m,d_slip_m,slip_m,s_slip_m_err,d_slip_m_err,slip_m_err,lon_center,lat_center,easting_utm48,northing_utm48,z_center,ul_east,ul_north,ur_east,ur_north,strike,dip,fault_seg,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
744,744,104.294,31.81,9.6,104.266,31.784000000000002,9.6,104.251,31.796999999999997,11.8,104.28,31.823,11.8,0.0,0.46,0.46,0.0,0.03,0.03,104.27275,31.8035,431160.426449885,3518885.738804202,10.7,433176.62120591494,3519592.9576570583,430506.8841904846,3516728.5958435955,227.01416454188993,47.935264489270324,bei_a,28.489274046207896,36.3095349754777,38.810402280289416,1.1851352631769818,5.693582349676274,-1.0105064863446902,1270.5929327507056,590.4987630123219,8.849,39.37382688363347,-4.112728650114201,-0.6286554766218813,-19.463798004022966
745,745,104.266,31.784000000000002,9.6,104.23700000000001,31.75800000000001,9.6,104.22200000000001,31.771,11.8,104.251,31.796999999999997,11.8,0.0,0.0,0.0,0.0,0.0,0.0,104.244,31.7775,428418.923737296,3516022.383094844,10.7,430506.8841904846,3516728.5958435955,427740.96370804607,3513865.5753875533,225.9882617365489,47.41486680453125,bei_a,29.287238093243925,36.17931691341799,40.56179613828546,1.3301616796401838,6.224706877406223,-1.1187838208820398,1267.3610602923163,587.1232418380578,8.849,40.77313288325091,-4.9353555679501895,-0.06612715721500706,-19.528081174192998
746,746,104.23700000000001,31.75800000000001,9.6,104.208,31.732,9.6,104.193,31.745,11.8,104.22200000000001,31.771,11.8,0.0,0.28,0.28,0.0,0.11,0.11,104.215,31.7515,425652.2259081211,3513159.9120660736,10.7,427740.96370804607,3513865.5753875533,424973.5139117525,3511003.2808938418,225.96517471494445,47.410590717942114,bei_a,30.159332245992484,36.23009881723336,42.373012571756895,1.5918193842073045,7.021396813596364,-1.3585247462795425,1264.0994860929777,583.7487635862799,8.849,42.42775424946031,-5.806889361400632,0.5040779093228331,-19.627925536492675
747,747,104.208,31.732,9.6,104.179,31.706,9.6,104.164,31.719,11.8,104.193,31.745,11.8,0.0,2.04,2.04,0.0,0.2,0.2,104.186,31.725500000000004,422883.99920723774,3510298.1664044573,10.7,424973.5139117525,3511003.2808938418,422204.5361338876,3508141.7113295314,225.94211807971263,47.40631447228946,bei_a,30.910624565188982,36.417687839756674,44.627799789819946,1.788875430100492,7.9685439432863605,-1.7471754998482925,1260.8361095542346,580.3751404473264,8.849,44.53900553384992,-6.878422228711543,0.9841082247977795,-19.77493864424318
748,748,104.179,31.706,9.6,104.15,31.68,9.6,104.135,31.69400000000001,11.8,104.164,31.719,11.8,0.0,3.22,3.22,0.0,0.23,0.23,104.157,31.69975,420114.4592190916,3507464.85573273,10.7,422204.5361338876,3508141.7113295314,419434.0317046965,3505280.8656587508,225.91909183109416,46.866930326112296,bei_a,31.67254987312631,36.88505084493475,46.753263158511494,1.9721450176630433,8.80060384572057,-2.2754082723940945,1257.571184821898,577.035038435401,8.849,46.845064801562714,-7.670898764601713,1.2929171552592726,-20.327943649027183
749,749,104.15,31.68,9.6,104.12100000000001,31.654,9.6,104.10700000000001,31.66800000000001,11.8,104.135,31.69400000000001,11.8,0.0,2.96,2.96,0.0,0.2,0.2,104.12825,31.674000000000003,417367.1056821753,3504632.0789560587,10.7,419434.0317046965,3505280.8656587508,416662.00195237773,3502420.742842696,225.8960959692376,46.80784938057129,bei_a,32.57166973116554,37.36868779050778,48.85823291785494,2.0869032537861094,9.798729577088519,-2.601667303109691,1254.332415008304,573.6955658157863,8.849,49.07789615274097,-8.481522210222128,1.7812563201908387,-20.780187450590702
750,750,104.12100000000001,31.654,9.6,104.09200000000001,31.629,9.6,104.07799999999999,31.642,11.8,104.10700000000001,31.66800000000001,11.8,0.0,1.85,1.85,0.0,0.14,0.14,104.0995,31.64825,414618.25489240617,3501800.012045855,10.7,416662.00195237773,3502420.742842696,413889.3694499226,3499672.1841287483,224.7501775100211,47.78340088065031,bei_a,33.44867325506635,37.84422162838023,51.477837711041325,2.023792283002697,10.88932772492666,-3.1052499408573606,1251.0918801297926,570.356930035718,8.849,51.54652757168867,-9.857245629859044,2.0548598430167067,-20.858768595852137
751,751,104.09200000000001,31.629,9.6,104.064,31.603,9.6,104.04899999999999,31.616,11.8,104.07799999999999,31.642,11.8,0.0,0.75,0.75,0.06,0.13,0.14,104.07075,31.6225,411867.90813729016,3498968.6539869737,10.7,413889.3694499226,3499672.1841287483,411209.18757421424,3496812.6912381994,226.8539316921872,47.90456194872776,bei_a,34.098667278938315,38.473176907035715,54.22181827477436,1.8904677380342172,11.589708458619619,-3.894671750035861,1247.8495817041648,567.0191298984723,8.849,54.097390224842854,-10.879758573801675,2.1728346381522075,-21.363824768688026
752,752,104.064,31.603,9.6,104.035,31.576999999999998,9.6,104.02,31.59,11.8,104.04899999999999,31.616,11.8,0.0,0.0,0.0,0.07,0.09,0.11,104.042,31.5965,409115.82392511383,3496110.2931452026,10.7,411209.18757421424,3496812.6912381994,408432.64520718256,3493954.705922085,225.8281106392548,47.385094152212105,bei_a,34.66600684521701,39.204747425860745,56.18096457734535,1.9866404320767166,12.088831939381976,-4.4580036516512305,1244.6052350443356,563.6494970185781,8.849,56.29891408086933,-11.512656495279273,2.055804730927754,-22.084580700934602
753,753,104.035,31.576999999999998,9.6,104.006,31.551,9.6,103.991,31.564,11.8,104.02,31.59,11.8,0.0,0.0,0.0,0.11,0.0,0.11,104.01299999999999,31.57050000000001,406338.50725896365,3493252.853084352,10.7,408432.64520718256,3493954.705922085,405654.58275948657,3491097.439314011,225.80523520135415,47.38081663306236,bei_a,35.037902557732885,39.55568894549673,58.75464621899528,2.00927822104485,12.767116931965283,-4.542752159329929,1241.3311426276691,560.2809496187319,8.849,58.19691013893216,-12.67019797302333,2.350743653552261,-22.031722514334383
