,index,lon_c1,lat_c1,lon_c2,lat_c2,bottom,top,dip,azimuth,dip_m,strike_m,e_trace,n_trace,depth,easting,northing,lon,lat,utm_lon,utm_lat,fault_seg,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs,strike
62,374,99.32360000000001,51.6942,96.53,48.8314,-28.0,-24.0,47.0,45.7005,0.2731,-0.9416000000000002,97.9268,50.2628,26.0,80.9935988862091,67.61519882238068,103.85381343271486,31.611612406947323,391279.38654313213,3497957.225658721,s3,144.1984709607868,426.04975046399056,414.4805107648528,81.87396941375505,-16.193882749262773,-252.1093681383261,1223.5784126137341,565.8267884345355,24.149,472.06648645774624,-115.42463424513893,-232.4871911523776,-23.67652727835838,225.7005
63,375,99.32360000000001,51.6942,96.53,48.8314,-32.0,-28.0,47.0,45.7005,0.085,-0.7387,97.9268,50.2628,30.0,78.38849102254898,70.28479864120847,103.82611962587606,31.63563136642583,388680.9531307381,3500647.5247797715,s3,129.365246233131,134.53331423844097,469.99182489994195,-34.1740866296601,21.9452474034481,-91.88619124620715,1220.5152001128263,568.9982985680936,28.149,388.37959687135947,-157.19423244753403,-34.3332683294653,-72.1277891080504,225.7005
64,376,96.53,48.8314,93.7363,45.9686,-4.0,-0.0,47.0,45.7005,3.0221,-2.9931,95.13315,47.40000000000001,2.0,93.83059606816994,48.7347999094139,103.9902781546968,31.441741427323198,404050.76307467296,3479000.704025718,s3,349.98230625459,-122.41117297103861,425.26672328156127,-817.8143015851433,-460.8481901238326,950.2462294770935,1238.6341920147452,543.4795334450575,0.14900000000000002,-306.63629496569723,319.4400490789057,414.98823204513576,707.6774688573267,225.7005
65,377,96.53,48.8314,93.7363,45.9686,-8.0,-4.0,47.0,45.7005,2.8459,-2.8195,95.13315,47.40000000000001,6.0,91.22548820450977,51.4043997282417,103.96258434785801,31.46576038680171,401444.17354459217,3481687.523560985,s3,-114.4517761451209,209.0985765446562,80.33915708514431,382.2540828214236,-390.78346258043246,-310.6621735655609,1235.5613645198414,546.6469416029333,4.149,-190.0658193718282,-201.57057071955293,-463.83093029090935,619.7764063077348,225.7005
66,378,96.53,48.8314,93.7363,45.9686,-12.0,-8.0,47.0,45.7005,2.4077,-2.5121,95.13315,47.40000000000001,10.0,88.62038034084965,54.073999547069505,103.93489054101921,31.489779346280216,398838.9348406626,3484375.0382811436,s3,73.74847870943454,-47.76127929754803,-1.2720297995400593,31.81343006045369,-50.69765345201859,422.8002002348577,1232.490129471962,549.8151692927013,8.149000000000001,-348.6293495078088,14.089366557087104,220.49093521317346,430.1182414616344,225.7005
67,379,96.53,48.8314,93.7363,45.9686,-16.0,-12.0,47.0,45.7005,1.7804,-2.1382,95.13315,47.40000000000001,14.0,86.0152724771895,56.743599365897296,103.90719673418043,31.51379830575873,396235.0481254456,3487063.249012073,s3,245.64681320327014,297.8771559469479,326.89161655292844,84.96781033944299,-64.42534814874945,-127.78210556002672,1229.420488241613,552.9842174879641,12.149000000000001,298.65674031691213,-72.78770575803529,-112.92379962187768,-44.844371207440304,225.7005
68,380,96.53,48.8314,93.7363,45.9686,-20.0,-16.0,47.0,45.7005,1.1375,-1.757,95.13315,47.40000000000001,18.0,83.41016461352939,59.413199184725094,103.87950292734163,31.537817265237237,393632.51456318906,3489752.15657732,s3,231.36932548854102,512.9878466387578,120.85958453361943,250.72139969857105,-58.14205667093442,177.6234004839211,1226.3524422012906,556.1540871595757,16.149,-44.26245021163111,13.75300915872532,-51.20879281324167,79.58091515188717,225.7005
69,381,96.53,48.8314,93.7363,45.9686,-24.0,-20.0,47.0,45.7005,0.6088,-1.4342,95.13315,47.40000000000001,22.0,80.80505674986924,62.08279900355289,103.85180912050284,31.561836224715748,391031.33531981846,3492441.7617981043,s3,13.037036181849315,-143.93741051298494,-92.08848476354378,-20.5318404209492,-137.25965492701596,-56.39786866149919,1223.2859927254676,559.324779275647,20.149,-123.25221112161601,26.438850301751536,-36.10836849201969,118.70428278129732,225.7005
70,382,96.53,48.8314,93.7363,45.9686,-28.0,-24.0,47.0,45.7005,0.251,-1.19,95.13315,47.40000000000001,26.0,78.1999488862091,64.75239882238068,103.82411531366405,31.585855184194255,388431.511562944,3495132.0654933117,s3,164.30122210659607,554.912595509849,158.0421344024783,-21.337695517095955,64.50556872580442,-278.6440829310842,1220.221141190605,562.4962948015373,24.149,523.6995106248742,96.50450364677062,-243.64980057802865,-52.15417154475517,225.7005
71,383,96.53,48.8314,93.7363,45.9686,-32.0,-28.0,47.0,45.7005,0.0799,-1.0158,95.13315,47.40000000000001,30.0,75.59484102254895,67.42199864120848,103.79642150682524,31.609874143672773,385833.0444618573,3497823.0684794877,s3,164.94984669131048,296.1475327037912,439.9454076340354,51.31433156289504,-63.102293728709206,-196.10772999260823,1217.1578889751427,565.6686346998454,28.149,397.41113972930805,-135.94670674171613,-173.08857710930283,-18.35315235689538,225.7005
